datetime,open,high,low,close,volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
2022-05-30,0.0001024,0.00029,0.0001024,0.00012629,2451395949470.16,1653955199999,353912611.96741065,1620549,1202972530411.41000000,174400558.18722302,0
2022-05-31,0.00012628,0.00013811,0.000108,0.00011419,2124577849909.94,1654041599999,251025542.63710299,1440068,1035479759890.92000000,122569051.18981684,0
2022-06-01,0.0001142,0.000128,9.15e-05,9.845e-05,1734832563306.08,1654127999999,181870031.40408186,899459,842787892033.08000000,88471134.67032847,0
2022-06-02,9.854e-05,0.0001054,9.3e-05,0.00010095,926658968423.68,1654214399999,91875856.38861886,412252,465085316682.58000000,46159768.83401781,0
2022-06-03,0.00010095,0.0001025,9.351e-05,9.514e-05,555748172351.34,1654300799999,53855947.12090023,258349,255388271864.10000000,24764320.16389222,0
2022-06-04,9.519e-05,9.625e-05,9e-05,9.246e-05,389618207104.45,1654387199999,36265830.21447008,186577,177194467295.78000000,16505664.06794137,0
2022-06-05,9.245e-05,9.253e-05,7.611e-05,7.923e-05,960304346760.35,1654473599999,79906129.65707269,402470,460231979992.27000000,38279325.32632348,0
2022-06-06,7.929e-05,8.848e-05,7.822e-05,8.059e-05,618268228298.84,1654559999999,51208496.50097915,263841,302230387118.05000000,25053205.42958331,0
2022-06-07,8.059e-05,8.074e-05,6.109e-05,6.264e-05,1016608858335.8,1654646399999,72396180.06437285,345795,467803706740.85000000,33325839.81247000,0
2022-06-08,6.264e-05,6.475e-05,4.509e-05,4.663e-05,1356536904054.76,1654732799999,78066212.26087794,380441,651376516632.65000000,37519330.54615119,0
2022-06-09,4.663e-05,8.8e-05,4.123e-05,7.509e-05,4247334638527.8,1654819199999,301989320.08977725,1348405,2112841744592.89000000,150405070.09931186,0
2022-06-10,7.509e-05,8.4e-05,6.719e-05,7.07e-05,1652425694714.81,1654905599999,122604498.88967907,634569,804254771346.03000000,59756934.74393671,0
2022-06-11,7.07e-05,7.644e-05,6.411e-05,6.972e-05,1061031157529.17,1654991999999,74125387.62843123,366643,512740999172.94000000,35859643.15576104,0
2022-06-12,6.973e-05,7.6e-05,6.5e-05,6.915e-05,1177563576837.35,1655078399999,82599664.09582125,422652,589637470654.15000000,41420502.17990879,0
2022-06-13,6.93e-05,7.124e-05,5.5e-05,6.025e-05,1327422224307.57,1655164799999,83351203.74405994,460048,643674096275.71000000,40435962.84881507,0
2022-06-14,6.025e-05,6.295e-05,5.506e-05,6.043e-05,838367087322.39,1655251199999,50293296.71827146,286064,404137803532.85000000,24268319.13699400,0
2022-06-15,6.044e-05,6.235e-05,5.3e-05,6.171e-05,900672469854.61,1655337599999,52397042.86088596,282860,441447984392.25000000,25713531.23450647,0
2022-06-16,6.173e-05,6.429e-05,5.706e-05,5.808e-05,573849757170.55,1655423999999,34403029.61250786,187367,278419451661.17000000,16701264.45641800,0
2022-06-17,5.801e-05,5.95e-05,5.76e-05,5.854e-05,293142463804.98,1655510399999,17185274.92087031,99450,140121031867.48000000,8217387.64117867,0
2022-06-18,5.854e-05,5.906e-05,5.15e-05,5.503e-05,614281271160.5,1655596799999,33593269.79786026,186787,292867963349.20000000,16020406.19120906,0
2022-06-19,5.502e-05,6.376e-05,5.312e-05,6.106e-05,643828701770.11,1655683199999,37301485.77693718,196525,329341320080.48000000,19112566.68009662,0
2022-06-20,6.106e-05,6.22e-05,5.63e-05,5.783e-05,493935398258.36,1655769599999,28826766.21241676,150392,232163081840.03000000,13556828.11714812,0
2022-06-21,5.784e-05,6.166e-05,5.754e-05,5.791e-05,516173266189.43,1655855999999,30816126.81783611,153313,246605920078.62000000,14734886.69690944,0
2022-06-22,5.794e-05,5.825e-05,5.624e-05,5.642e-05,248721736043.52,1655942399999,14241847.00825072,82132,119404189377.64000000,6839690.66808431,0
2022-06-23,5.642e-05,5.807e-05,5.63e-05,5.765e-05,192235203963.91,1656028799999,11016659.19767305,65556,94237215362.84000000,5402057.78247534,0
2022-06-24,5.765e-05,6.024e-05,5.714e-05,5.886e-05,275772221805.61,1656115199999,16148960.83178262,96883,140992306903.55000000,8258936.11879367,0
2022-06-25,5.885e-05,5.97e-05,5.801e-05,5.862e-05,207628102972.64,1656201599999,12187573.09515807,72327,98484187418.59000000,5782240.84488587,0
2022-06-26,5.861e-05,6.9e-05,5.816e-05,6.575e-05,764755314667.91,1656287999999,48744098.58188762,208593,400164311039.33000000,25500042.54627024,0
2022-06-27,6.575e-05,0.00010194,6.377e-05,8.902e-05,2740473595705.84,1656374399999,231682286.24049912,892549,1388649389055.06000000,117168845.08246824,0
2022-06-28,8.916e-05,0.00012,7.9e-05,0.00010793,2309075872823.35,1656460799999,221752964.48192320,756214,1177461538445.13000000,113281843.23306249,0
2022-06-29,0.00010793,0.00016663,0.000104,0.00016103,4085248612527.04,1656547199999,566921481.24126088,1830414,2074272757356.65000000,288383742.91131426,0
2022-06-30,0.00016124,0.000165,0.00010349,0.00011298,2361240370800.51,1656633599999,301071072.22970488,1020291,1146199482512.01000000,146058793.47301614,0
